RespId,weight,age,Education,race,gender,income_cat,voter_category,Union Voting,Community Meetings,Stay Informed,Community Emblem,Community Events,Know Pledge & Rules,Support Worker Rights,Respect Dissent,Belief in God,Protest Injustice
470001,0.7516,73,College,White,Female,$75-125k,always,Very important,Very important,Somewhat important,Not at all important,Very important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important
470002,1.0267,90,College,White,Female,$125k or more,always,Very important,Somewhat important,Somewhat important,Not so important,Very important,Very important,Somewhat important,Very important,Very important,Not so important
470003,1.0844,53,College,White,Male,$125k or more,sporadic,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Not at all important,Not so important
470007,0.6817,58,Some college,Black,Female,$40-75k,sporadic,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Very important,Somewhat important
480008,0.991,81,High school or less,White,Male,$40-75k,always,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important
480009,1.0591,61,High school or less,White,Female,$40-75k,rarely/never,Not so important,Somewhat important,Not so important,Not at all important,Very important,Not so important,Not so important,Very important,Very important,Not at all important
480010,1.1512,80,High school or less,White,Female,$125k or more,always,Very important,Very important,Somewhat important,Not so important,Very important,Very important,Very important,Very important,Very important,Not so important
470008,1.0174,68,Some college,Other/Mixed,Female,$75-125k,always,Very important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Very important,Very important,Not at all important,Somewhat important
470010,0.8184,70,College,White,Male,$125k or more,always,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Very important,Not so important,Somewhat important
470011,1.1653,83,Some college,White,Male,$125k or more,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470013,0.9517,43,College,White,Male,$75-125k,sporadic,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important
470016,1.374,42,College,White,Female,$125k or more,sporadic,Very important,Very important,Very important,Not at all important,Very important,Not at all important,Somewhat important,Not so important,Not at all important,Somewhat important
480020,0.8438,48,College,White,Male,$40-75k,rarely/never,Not so important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Very important,Somewhat important,Not at all important,Somewhat important
470017,1.2745,52,Some college,White,Male,$125k or more,sporadic,Very important,Very important,Not so important,Not so important,Very important,Very important,Very important,Very important,Not at all important,Not so important
470018,0.9742,80,High school or less,White,Female,$40-75k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all important
470019,0.9893,76,High school or less,White,Female,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470022,0.8473,73,Some college,White,Female,Less than $40k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important
470025,1.103,52,College,White,Female,$125k or more,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important
470027,0.9687,63,Some college,White,Male,$75-125k,always,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Not so important,Very important
470028,0.8401,81,Some college,White,Male,Less than $40k,always,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not so important
470029,1.0167,46,Some college,Other/Mixed,Male,Less than $40k,rarely/never,Somewhat important,Not so important,Not so important,Somewhat important,Very important,Not so important,Very important,Somewhat important,Somewhat important,Not so important
470030,0.9067,62,Some college,White,Male,$40-75k,always,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not so important
470031,0.3353,62,College,Black,Male,$75-125k,sporadic,Very important,Very important,Somewhat important,Somewhat important,Very important,Not so important,Very important,Very important,Not at all important,Somewhat important
470033,1.1927,84,High school or less,White,Male,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important
470034,1.056,53,College,White,Female,$75-125k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not so important
470035,0.9261,71,High school or less,White,Female,Less than $40k,always,Very important,Somewhat important,Very important,Not at all important,Very important,Not at all important,Not so important,Somewhat important,Not at all important,Somewhat important
470036,0.984,50,High school or less,Black,Female,Less than $40k,rarely/never,Somewhat important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Somewhat important,Somewhat important,Very important,Not so important
470037,1.0533,77,Some college,White,Female,$75-125k,sporadic,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Not so important
470038,0.7479,67,College,White,Male,$40-75k,always,Very important,Very important,,,Very important,Very important,Very important,Very important,Very important,Not at all important
470039,0.9261,80,High school or less,White,Female,Less than $40k,always,Very important,Very important,Very important,Not so important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important
470040,1.0308,54,College,White,Male,$125k or more,always,Very important,Somewhat important,Somewhat important,Not so important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Not so important
470042,1.0088,53,Some college,White,Male,$40-75k,always,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Not so important
470043,0.4642,47,Some college,Hispanic,Male,$40-75k,rarely/never,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important
470044,0.7835,68,College,White,Male,$75-125k,always,Somewhat important,Very important,Somewhat important,Not so important,Very important,Not so important,Very important,Very important,Somewhat important,Very important
470045,0.991,73,High school or less,White,Male,$40-75k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Not so important
470046,1.3568,62,High school or less,Other/Mixed,Male,$75-125k,sporadic,Very important,Very important,Very important,Not at all important,Very important,Not so important,Not so important,Somewhat important,Not at all important,Very important
480053,1.0822,58,High school or less,Black,Female,Less than $40k,sporadic,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,
